Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Kay Felder,CHI,14,9.6,1.4,4.7,0.303,0.3,1.3,0.222,0.8,0.9,0.917,1.1,0.8,0.1,0.9,1,1.4,0.2,0.1,3.9
Ryan Arcidiacono,CHI,24,12.7,0.7,1.7,0.415,0.4,1.3,0.29,0.2,0.2,0.833,0.5,0.8,0,1,1,1.5,0.5,0,2
Quincy Pondexter,CHI,23,8.5,0.6,2.1,0.286,0.1,1,0.136,0.6,0.7,0.824,0.5,1,0.3,0.8,1.2,0.4,0.3,0.1,2
Omer Asik,CHI,4,15.3,0.5,1.5,0.333,0,0,0,0,0.2,0,1,1.5,0.5,2,2.5,0.2,0.2,0.5,1
Jarell Eddie,CHI,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Barnes,DAL,77,34.2,7,15.7,0.445,1.5,4.3,0.357,3.4,4.1,0.827,1.5,1.2,1,5.1,6.1,2,0.6,0.2,18.9
Dennis Smith,DAL,69,29.7,5.9,14.8,0.395,1.5,4.9,0.313,1.9,2.8,0.694,2.8,2.2,0.7,3,3.8,5.2,1,0.3,15.2
Wesley Matthews,DAL,63,33.8,4.5,11.1,0.406,2.4,6.4,0.381,1.3,1.6,0.822,1.3,2.2,0.4,2.7,3.1,2.7,1.2,0.3,12.7
Dirk Nowitzki,DAL,77,24.7,4.5,9.8,0.456,1.8,4.4,0.409,1.3,1.4,0.898,0.7,1.9,0.3,5.4,5.7,1.6,0.6,0.6,12
J.J. Barea,DAL,69,23.2,4.4,10,0.439,1.7,4.5,0.367,1.2,1.5,0.784,2.1,1.2,0.2,2.7,2.9,6.3,0.5,0,11.6
Yogi Ferrell,DAL,82,27.8,3.8,8.9,0.426,1.6,4.4,0.373,1,1.3,0.796,1,1.9,0.3,2.7,3,2.5,0.8,0.1,10.2
Doug McDermott,DAL,26,22.9,3.3,6.9,0.478,1.5,3,0.494,0.9,1.1,0.857,0.8,1.9,0.3,2.3,2.5,1.1,0.3,0.2,9
